Accession	Source Database	Name	Tax ID	Tax Name	Length	Entry Accession	Matches
A0A445A455	unreviewed	Formin-like protein	3818	Arachis hypogaea	996	PF02181	543..935
A0A445A5K6	unreviewed	Formin-like protein	3818	Arachis hypogaea	844	PF02181	351..742
A0A445AC77	unreviewed	Formin-like protein	3818	Arachis hypogaea	1151	PF02181	692..1089
A0A445AHP9	unreviewed	FH2 domain-containing protein	3818	Arachis hypogaea	66	PF02181	1..65
A0A445AJK2	unreviewed	FH2 domain-containing protein	3818	Arachis hypogaea	128	PF02181	1..99
A0A445AL22	unreviewed	FH2 domain-containing protein	3818	Arachis hypogaea	132	PF02181	1..108
A0A445AR09	unreviewed	Formin-like protein	3818	Arachis hypogaea	902	PF02181	459..850
A0A445ARZ0	unreviewed	FH2 domain-containing protein	3818	Arachis hypogaea	77	PF02181	1..63
A0A445AVH6	unreviewed	Formin-like protein	3818	Arachis hypogaea	1167	PF02181	757..1125
A0A445AZJ8	unreviewed	Formin-like protein	3818	Arachis hypogaea	1449	PF02181	1040..1409
A0A445B0G8	unreviewed	Formin-like protein	3818	Arachis hypogaea	682	PF02181	215..619
A0A445B7V4	unreviewed	FH2 domain-containing protein	3818	Arachis hypogaea	143	PF02181	21..129
A0A445B8T6	unreviewed	FH2 domain-containing protein	3818	Arachis hypogaea	143	PF02181	31..129
A0A445BKJ9	unreviewed	Formin-like protein	3818	Arachis hypogaea	942	PF02181	522..919
A0A445BWY6	unreviewed	Formin-like protein	3818	Arachis hypogaea	867	PF02181	397..795
A0A445BXN1	unreviewed	FH2 domain-containing protein	3818	Arachis hypogaea	220	PF02181	118..197
A0A445BYB0	unreviewed	Formin-like protein	3818	Arachis hypogaea	943	PF02181	461..860
A0A445C2B9	unreviewed	Formin-like protein	3818	Arachis hypogaea	1771	PF02181	1340..1602,1602..1675
A0A445CPM6	unreviewed	AAA domain-containing protein	3818	Arachis hypogaea	331	PF02181	4..41
A0A445CSE8	unreviewed	FH2 domain-containing protein	3818	Arachis hypogaea	85	PF02181	3..85
A0A445CWM1	unreviewed	Formin-like protein	3818	Arachis hypogaea	1693	PF02181	1277..1645
A0A445D0H7	unreviewed	Formin-like protein	3818	Arachis hypogaea	680	PF02181	218..617
A0A445D8X1	unreviewed	Formin-like protein	3818	Arachis hypogaea	867	PF02181	428..849
A0A445DCC6	unreviewed	Formin-like protein	3818	Arachis hypogaea	1221	PF02181	767..1159
A0A445DPE6	unreviewed	Formin-like protein	3818	Arachis hypogaea	691	PF02181	277..668
A0A445DQR0	unreviewed	Formin-like protein	3818	Arachis hypogaea	879	PF02181	420..831
A0A445E0G1	unreviewed	Formin-like protein	3818	Arachis hypogaea	839	PF02181	344..735
A0A445EE02	unreviewed	AAA domain-containing protein	3818	Arachis hypogaea	428	PF02181	32..66
A0A445EI25	unreviewed	Formin-like protein	3818	Arachis hypogaea	1147	PF02181	688..1085
A0A445EQF6	unreviewed	Formin-like protein	3818	Arachis hypogaea	686	PF02181	219..623
A0A445ESA5	unreviewed	FH2 domain-containing protein	3818	Arachis hypogaea	80	PF02181	1..68
A0A445ET33	unreviewed	Formin-like protein	3818	Arachis hypogaea	903	PF02181	460..851
A0A445F9H4	unreviewed	Formin-like protein	3848	Glycine soja	892	PF02181	471..865
A0A445FKR3	unreviewed	Formin-like protein	3848	Glycine soja	791	PF02181	382..772
A0A445FWG5	unreviewed	Formin-like protein	3848	Glycine soja	1039	PF02181	590..983
A0A445G3A8	unreviewed	Formin-like protein	3848	Glycine soja	1208	PF02181	798..1166
A0A445G3C0	unreviewed	Formin-like protein	3848	Glycine soja	1191	PF02181	798..1149
A0A445G4U2	unreviewed	Formin-like protein	3848	Glycine soja	1575	PF02181	1167..1535
A0A445G4U5	unreviewed	Formin-like protein	3848	Glycine soja	1532	PF02181	1124..1492
A0A445G7G3	unreviewed	Formin-like protein	3848	Glycine soja	884	PF02181	440..833
A0A445GA61	unreviewed	Formin-like protein	3848	Glycine soja	1495	PF02181	1074..1445
A0A445GA72	unreviewed	Formin-like protein	3848	Glycine soja	1535	PF02181	1114..1485
A0A445GA83	unreviewed	Formin-like protein	3848	Glycine soja	1455	PF02181	1034..1405
A0A445GAE1	unreviewed	Formin-like protein	3848	Glycine soja	1389	PF02181	1074..1389
A0A445GDG3	unreviewed	Formin-like protein	3848	Glycine soja	1079	PF02181	628..1025
A0A445GDR1	unreviewed	Formin-like protein	3848	Glycine soja	890	PF02181	628..814
A0A445GVH6	unreviewed	FH2 domain-containing protein	3848	Glycine soja	160	PF02181	30..101
A0A445H457	unreviewed	FH2 domain-containing protein	3848	Glycine soja	144	PF02181	35..141
A0A445H4B8	unreviewed	FH2 domain-containing protein	3848	Glycine soja	235	PF02181	113..226
A0A445H4E4	unreviewed	Formin-like protein 18	3848	Glycine soja	1671	PF02181	1294..1442
A0A445HN64	unreviewed	Formin-like protein	3848	Glycine soja	829	PF02181	366..762
A0A445HPJ7	unreviewed	Formin-like protein	3848	Glycine soja	973	PF02181	510..913
A0A445HTS8	unreviewed	Formin-like protein	3848	Glycine soja	818	PF02181	349..752
A0A445HX38	unreviewed	Formin-like protein	3848	Glycine soja	895	PF02181	450..843
A0A445IBF0	unreviewed	Formin-like protein	3848	Glycine soja	907	PF02181	437..841
A0A445IMV3	unreviewed	Formin-like protein	3848	Glycine soja	921	PF02181	499..894
A0A445IMW1	unreviewed	Formin-like protein	3848	Glycine soja	876	PF02181	454..849
A0A445J499	unreviewed	Formin-like protein	3848	Glycine soja	1223	PF02181	815..1185
A0A445J5M7	unreviewed	Formin-like protein	3848	Glycine soja	1039	PF02181	595..983
A0A445JLL4	unreviewed	Formin-like protein	3848	Glycine soja	790	PF02181	350..768
A0A445JT29	unreviewed	Formin-like protein	3848	Glycine soja	1079	PF02181	627..1024
A0A445JZD7	unreviewed	FH2 domain-containing protein	3848	Glycine soja	622	PF02181	422..618
A0A445JZF8	unreviewed	Formin-like protein	3848	Glycine soja	886	PF02181	422..838
A0A445KBP7	unreviewed	Formin-like protein	3848	Glycine soja	723	PF02181	251..661
A0A445KC34	unreviewed	Formin-like protein	3848	Glycine soja	1209	PF02181	870..1183
A0A445KF96	unreviewed	Formin-like protein	3848	Glycine soja	978	PF02181	515..918
A0A445KG07	unreviewed	Formin-like protein	3848	Glycine soja	847	PF02181	378..779
A0A445KI74	unreviewed	Formin-like protein	3848	Glycine soja	1658	PF02181	1288..1561
A0A445KIA9	unreviewed	Formin-like protein	3848	Glycine soja	1569	PF02181	1288..1562
A0A445KIB1	unreviewed	Formin-like protein	3848	Glycine soja	1622	PF02181	1288..1606
A0A445KIX6	unreviewed	Formin-like protein	3848	Glycine soja	1565	PF02181	1156..1525
A0A445KJ36	unreviewed	Formin-like protein 20 isoform I	3848	Glycine soja	1463	PF02181	1288..1462
A0A445KJ90	unreviewed	Formin-like protein	3848	Glycine soja	1674	PF02181	1288..1599
A0A445KMF8	unreviewed	Formin-like protein	3848	Glycine soja	889	PF02181	445..838
A0A445KZ87	unreviewed	Formin-like protein	3848	Glycine soja	1246	PF02181	911..1224
A0A445KZ89	unreviewed	Formin-like protein	3848	Glycine soja	1319	PF02181	911..1281
A0A445KZ97	unreviewed	Formin-like protein	3848	Glycine soja	1265	PF02181	911..1251
A0A445KZA3	unreviewed	Formin-like protein 14 isoform H	3848	Glycine soja	1012	PF02181	911..1009
A0A445KZD9	unreviewed	Formin-like protein	3848	Glycine soja	1275	PF02181	911..1268
A0A445KZS1	unreviewed	Formin-like protein	3848	Glycine soja	1299	PF02181	911..1268
A0A445KZS5	unreviewed	Formin-like protein	3848	Glycine soja	984	PF02181	620..977
A0A445L145	unreviewed	Formin-like protein	3848	Glycine soja	1220	PF02181	880..1194
A0A445L147	unreviewed	FH2 domain-containing protein	3848	Glycine soja	606	PF02181	3..170
A0A445L177	unreviewed	Formin-like protein 20 isoform B	3848	Glycine soja	1035	PF02181	886..1032
A0A445L188	unreviewed	Formin-like protein	3848	Glycine soja	1196	PF02181	880..1170
A0A445L198	unreviewed	Formin-like protein	3848	Glycine soja	1192	PF02181	852..1166
A0A445L1P3	unreviewed	Formin-like protein	3848	Glycine soja	727	PF02181	256..665
A0A445LGA5	unreviewed	Formin-like protein	3848	Glycine soja	795	PF02181	385..775
A0A445LIU4	unreviewed	Formin-like protein	3848	Glycine soja	804	PF02181	369..784
A0A445LNS1	unreviewed	Formin-like protein	3848	Glycine soja	883	PF02181	420..835
A0A445LNX4	unreviewed	Formin-like protein	3848	Glycine soja	930	PF02181	420..835
A0A445LRG1	unreviewed	Formin-like protein	3848	Glycine soja	1192	PF02181	799..1150
A0A445LST0	unreviewed	Formin-like protein	3848	Glycine soja	1209	PF02181	799..1167
A0A445LYH1	unreviewed	Formin-like protein	3848	Glycine soja	812	PF02181	377..792
A0A445M5P3	unreviewed	Formin-like protein	3848	Glycine soja	890	PF02181	445..838
A0A446BGQ0	unreviewed	C7618703-ccbf-4179-ab99-68368801d6e4	2587410	Thermothielavioides terrestris	1757	PF02181	1102..1495
A0A447C0Y9	unreviewed	Cytokinesis protein sepA	48703	Podospora comata	1795	PF02181	1158..1549
A0A448X7A1	unreviewed	FH2 domain-containing protein	117903	Protopolystoma xenopodis	112	PF02181	28..103
A0A448X7W6	unreviewed	FH2 domain-containing protein	117903	Protopolystoma xenopodis	75	PF02181	1..68
A0A448YG90	unreviewed	DEKNAAC100603	13370	Brettanomyces naardenensis	1354	PF02181	709..1096
A0A448YRY7	unreviewed	DEKNAAC104907	13370	Brettanomyces naardenensis	2040	PF02181	1427..1812
A0A448Z5D6	unreviewed	FH2 domain-containing protein	183589	Pseudo-nitzschia multistriata	1843	PF02181	1516..1814
A0A448ZA09	unreviewed	SH2 domain-containing protein	183589	Pseudo-nitzschia multistriata	2787	PF02181	1647..2060
A0A448ZQD1	unreviewed	FH2 domain-containing protein	183589	Pseudo-nitzschia multistriata	2226	PF02181	1572..1968
A0A449BXF2	unreviewed	FH2 domain-containing protein	54757	Plasmodium vinckei vinckei	2464	PF02181	2033..2405
A0A449C097	unreviewed	FH2 domain-containing protein	54757	Plasmodium vinckei vinckei	2644	PF02181	2048..2413
A0A452C402	unreviewed	protein diaphanous homolog 1 isoform X1	310752	Balaenoptera acutorostrata scammoni	1231	PF02181	715..1090
A0A452C6C6	unreviewed	disheveled-associated activator of morphogenesis 2	310752	Balaenoptera acutorostrata scammoni	1064	PF02181	593..966
A0A452C6E1	unreviewed	FH1/FH2 domain-containing protein 1	310752	Balaenoptera acutorostrata scammoni	1147	PF02181	601..968
A0A452C8C1	unreviewed	protein diaphanous homolog 3	310752	Balaenoptera acutorostrata scammoni	1321	PF02181	766..1137
A0A452CF84	unreviewed	formin-like protein 3 isoform X5	310752	Balaenoptera acutorostrata scammoni	977	PF02181	511..875
A0A452CFL6	unreviewed	LOW QUALITY PROTEIN: formin-like protein 1	310752	Balaenoptera acutorostrata scammoni	1053	PF02181	534..899
A0A452CHN9	unreviewed	FH2 domain-containing protein	310752	Balaenoptera acutorostrata scammoni	1201	PF02181	755..1152
A0A452CHS6	unreviewed	formin-like protein 2	310752	Balaenoptera acutorostrata scammoni	1054	PF02181	587..952
A0A452CJW2	unreviewed	delphilin	310752	Balaenoptera acutorostrata scammoni	1298	PF02181	909..1274
A0A452DL58	unreviewed	FH2 domain-containing protein	9925	Capra hircus	368	PF02181	40..359
A0A452DMB7	unreviewed	Dishevelled associated activator of morphogenesis 1	9925	Capra hircus	1082	PF02181	601..987
A0A452E559	unreviewed	FH2 domain-containing protein	9925	Capra hircus	1457	PF02181	1026..1409
A0A452E859	unreviewed	FH2 domain-containing protein	9925	Capra hircus	1132	PF02181	84..448
A0A452EMF0	unreviewed	Dishevelled associated activator of morphogenesis 2	9925	Capra hircus	1087	PF02181	596..989
A0A452EMQ9	unreviewed	Dishevelled associated activator of morphogenesis 2	9925	Capra hircus	1076	PF02181	596..978
A0A452EMS1	unreviewed	Dishevelled associated activator of morphogenesis 2	9925	Capra hircus	1067	PF02181	596..969
A0A452ERD3	unreviewed	Formin like 3	9925	Capra hircus	1027	PF02181	562..926
A0A452ERF2	unreviewed	Formin like 3	9925	Capra hircus	976	PF02181	511..875
A0A452ERU4	unreviewed	Formin like 3	9925	Capra hircus	1028	PF02181	562..926
A0A452ESE6	unreviewed	Formin like 3	9925	Capra hircus	1028	PF02181	562..926
A0A452FAK5	unreviewed	Grid2 interacting protein	9925	Capra hircus	1198	PF02181	809..1174
A0A452FFG0	unreviewed	Formin like 1	9925	Capra hircus	1115	PF02181	644..1009
A0A452FFI5	unreviewed	Diaphanous related formin 3	9925	Capra hircus	1055	PF02181	565..934
A0A452FFY7	unreviewed	Formin like 1	9925	Capra hircus	1111	PF02181	644..1009
A0A452FGB6	unreviewed	Formin like 1	9925	Capra hircus	1121	PF02181	650..1015
A0A452FI97	unreviewed	FH2 domain-containing protein	9925	Capra hircus	1435	PF02181	962..1379
A0A452FLM3	unreviewed	Formin homology 2 domain containing 3	9925	Capra hircus	1533	PF02181	997..1364
A0A452FLU4	unreviewed	Formin homology 2 domain containing 3	9925	Capra hircus	1541	PF02181	997..1364
A0A452FMA7	unreviewed	Formin homology 2 domain containing 3	9925	Capra hircus	1431	PF02181	887..1254
A0A452FMJ5	unreviewed	Formin homology 2 domain containing 3	9925	Capra hircus	1488	PF02181	1056..1311
A0A452G270	unreviewed	Diaphanous related formin 1	9925	Capra hircus	1258	PF02181	754..1133
A0A452G5B4	unreviewed	Formin homology 2 domain containing 1	9925	Capra hircus	1157	PF02181	611..979
A0A452G7S7	unreviewed	FH2 domain-containing protein	9925	Capra hircus	172	PF02181	36..123
A0A452G807	unreviewed	FH2 domain-containing protein	9925	Capra hircus	185	PF02181	49..136
A0A452G8U3	unreviewed	Inverted formin-2	9925	Capra hircus	532	PF02181	14..200
A0A452G9R4	unreviewed	Formin like 2	9925	Capra hircus	1093	PF02181	618..983
A0A452G9Z8	unreviewed	Formin like 2	9925	Capra hircus	1082	PF02181	605..970
A0A452GA03	unreviewed	Formin like 2	9925	Capra hircus	1074	PF02181	605..970
A0A452GA58	unreviewed	Formin like 2	9925	Capra hircus	1088	PF02181	618..983
A0A452GG59	unreviewed	Grid2 interacting protein	38772	Gopherus agassizii	1294	PF02181	902..1270
A0A452GG98	unreviewed	Grid2 interacting protein	38772	Gopherus agassizii	1009	PF02181	617..985
A0A452GGB6	unreviewed	Grid2 interacting protein	38772	Gopherus agassizii	1016	PF02181	624..992
A0A452GGG8	unreviewed	Formin like 1	38772	Gopherus agassizii	293	PF02181	28..188
A0A452GIX0	unreviewed	Formin like 2	38772	Gopherus agassizii	1026	PF02181	557..922
A0A452GIY7	unreviewed	Formin like 2	38772	Gopherus agassizii	1032	PF02181	557..922
A0A452GIZ3	unreviewed	Formin like 2	38772	Gopherus agassizii	1020	PF02181	550..915
A0A452GJ99	unreviewed	Diaphanous related formin 3	38772	Gopherus agassizii	560	PF02181	88..456
A0A452GJA3	unreviewed	Diaphanous related formin 3	38772	Gopherus agassizii	564	PF02181	88..460
A0A452GKC1	unreviewed	Formin homology 2 domain containing 1	38772	Gopherus agassizii	1264	PF02181	728..1094
A0A452GKH8	unreviewed	Formin homology 2 domain containing 1	38772	Gopherus agassizii	1290	PF02181	754..1120
A0A452H041	unreviewed	Diaphanous related formin 2	38772	Gopherus agassizii	1053	PF02181	584..960
A0A452H1A2	unreviewed	Diaphanous related formin 2	38772	Gopherus agassizii	1060	PF02181	598..974
A0A452H1C6	unreviewed	Diaphanous related formin 2	38772	Gopherus agassizii	1071	PF02181	619..991
A0A452H1H4	unreviewed	Diaphanous related formin 2	38772	Gopherus agassizii	1060	PF02181	591..967
A0A452H1I7	unreviewed	Diaphanous related formin 2	38772	Gopherus agassizii	911	PF02181	440..812
A0A452H1Z9	unreviewed	Diaphanous related formin 2	38772	Gopherus agassizii	915	PF02181	551..835
A0A452H264	unreviewed	Diaphanous related formin 2	38772	Gopherus agassizii	889	PF02181	418..790
A0A452HGF9	unreviewed	Formin homology 2 domain containing 3	38772	Gopherus agassizii	1365	PF02181	823..1189
A0A452HGG4	unreviewed	Formin homology 2 domain containing 3	38772	Gopherus agassizii	1357	PF02181	823..1189
A0A452HGG9	unreviewed	Formin homology 2 domain containing 3	38772	Gopherus agassizii	1348	PF02181	806..1172
A0A452HGI0	unreviewed	Formin homology 2 domain containing 3	38772	Gopherus agassizii	1236	PF02181	694..1060
A0A452HGI7	unreviewed	Formin homology 2 domain containing 3	38772	Gopherus agassizii	1150	PF02181	643..1009
A0A452HGI9	unreviewed	Formin homology 2 domain containing 3	38772	Gopherus agassizii	1212	PF02181	678..1044
A0A452HHS7	unreviewed	FH2 domain-containing protein	38772	Gopherus agassizii	455	PF02181	1..240
A0A452HIC6	unreviewed	Dishevelled associated activator of morphogenesis 1	38772	Gopherus agassizii	594	PF02181	118..499
A0A452HIC8	unreviewed	Dishevelled associated activator of morphogenesis 1	38772	Gopherus agassizii	584	PF02181	118..489
A0A452I130	unreviewed	FH2 domain-containing protein	38772	Gopherus agassizii	749	PF02181	380..740
A0A452I2G6	unreviewed	Formin like 1	38772	Gopherus agassizii	865	PF02181	651..858
A0A452I307	unreviewed	Formin like 3	38772	Gopherus agassizii	906	PF02181	455..815
A0A452I3N4	unreviewed	Formin like 3	38772	Gopherus agassizii	992	PF02181	531..891
A0A452I3V7	unreviewed	Formin like 3	38772	Gopherus agassizii	957	PF02181	493..853
A0A452I3Y9	unreviewed	Formin like 3	38772	Gopherus agassizii	1017	PF02181	554..914
A0A452I418	unreviewed	Formin like 3	38772	Gopherus agassizii	970	PF02181	540..902
A0A452I463	unreviewed	Formin like 3	38772	Gopherus agassizii	1032	PF02181	597..957
A0A452IIZ6	unreviewed	Dishevelled associated activator of morphogenesis 2	38772	Gopherus agassizii	1084	PF02181	604..987
A0A452IJ28	unreviewed	Dishevelled associated activator of morphogenesis 2	38772	Gopherus agassizii	1073	PF02181	604..976
A0A452IKH1	unreviewed	FH2 domain-containing protein	38772	Gopherus agassizii	1144	PF02181	88..450
A0A452IW75	unreviewed	Inverted formin, FH2 and WH2 domain containing	38772	Gopherus agassizii	1264	PF02181	528..885
A0A452IWA1	unreviewed	Inverted formin, FH2 and WH2 domain containing	38772	Gopherus agassizii	1174	PF02181	439..802
A0A452IWE7	unreviewed	Inverted formin, FH2 and WH2 domain containing	38772	Gopherus agassizii	1183	PF02181	439..802
A0A452IWF3	unreviewed	Inverted formin, FH2 and WH2 domain containing	38772	Gopherus agassizii	1194	PF02181	577..933
A0A452IWU2	unreviewed	Inverted formin, FH2 and WH2 domain containing	38772	Gopherus agassizii	1157	PF02181	630..899
A0A452IZ16	unreviewed	Diaphanous related formin 1	38772	Gopherus agassizii	570	PF02181	110..489
A0A452IZ60	unreviewed	Diaphanous related formin 1	38772	Gopherus agassizii	397	PF02181	1..268
A0A452QLM5	unreviewed	Formin like 3	9643	Ursus americanus	984	PF02181	614..875
A0A452QLT7	unreviewed	Formin like 3	9643	Ursus americanus	1007	PF02181	525..889
A0A452QLU0	unreviewed	Formin like 3	9643	Ursus americanus	1011	PF02181	548..912
A0A452QLV0	unreviewed	Formin like 3	9643	Ursus americanus	1004	PF02181	541..905
A0A452QLV1	unreviewed	Formin like 3	9643	Ursus americanus	1027	PF02181	562..926
A0A452QLY7	unreviewed	Formin like 3	9643	Ursus americanus	986	PF02181	521..885
A0A452QLZ6	unreviewed	Formin like 3	9643	Ursus americanus	1028	PF02181	562..926
A0A452QM10	unreviewed	Formin like 3	9643	Ursus americanus	977	PF02181	511..875
A0A452QM13	unreviewed	Formin like 3	9643	Ursus americanus	985	PF02181	622..883
A0A452QM22	unreviewed	Formin like 3	9643	Ursus americanus	1018	PF02181	548..912
A0A452QRB5	unreviewed	Dishevelled associated activator of morphogenesis 1	9643	Ursus americanus	1068	PF02181	601..973
A0A452QRC4	unreviewed	Dishevelled associated activator of morphogenesis 1	9643	Ursus americanus	1063	PF02181	601..968
A0A452QRG5	unreviewed	Dishevelled associated activator of morphogenesis 1	9643	Ursus americanus	1078	PF02181	601..983
A0A452QRH1	unreviewed	Dishevelled associated activator of morphogenesis 1	9643	Ursus americanus	1028	PF02181	564..933
A0A452QRH7	unreviewed	Dishevelled associated activator of morphogenesis 1	9643	Ursus americanus	1035	PF02181	571..940
A0A452QRL5	unreviewed	Dishevelled associated activator of morphogenesis 1	9643	Ursus americanus	968	PF02181	518..873
A0A452QUE3	unreviewed	FHOD3 protein	9643	Ursus americanus	462	PF02181	1..293
A0A452QXY7	unreviewed	Inverted formin, FH2 and WH2 domain containing	9643	Ursus americanus	1128	PF02181	451..812
A0A452QY75	unreviewed	Inverted formin, FH2 and WH2 domain containing	9643	Ursus americanus	1114	PF02181	450..712
A0A452QY90	unreviewed	Inverted formin, FH2 and WH2 domain containing	9643	Ursus americanus	1110	PF02181	450..811
A0A452R032	unreviewed	FH2 domain-containing protein	9643	Ursus americanus	1104	PF02181	752..1087
A0A452R034	unreviewed	Diaphanous related formin 2	9643	Ursus americanus	401	PF02181	1..275
A0A452RHB3	unreviewed	FH2 domain-containing protein	9643	Ursus americanus	1146	PF02181	96..459
A0A452S1T6	unreviewed	FMNL2	9643	Ursus americanus	461	PF02181	1..357
A0A452SDY3	unreviewed	Grid2 interacting protein	9643	Ursus americanus	1016	PF02181	627..992
A0A452SE24	unreviewed	Grid2 interacting protein	9643	Ursus americanus	1194	PF02181	805..1170
A0A452SE27	unreviewed	Grid2 interacting protein	9643	Ursus americanus	1011	PF02181	622..987
A0A452SFQ0	unreviewed	Formin like 1	9643	Ursus americanus	1035	PF02181	577..938
A0A452SFQ9	unreviewed	Formin like 1	9643	Ursus americanus	635	PF02181	278..605
A0A452SFR3	unreviewed	Formin like 1	9643	Ursus americanus	997	PF02181	534..895
A0A452SFU4	unreviewed	Formin like 1	9643	Ursus americanus	1038	PF02181	575..936
A0A452SFU5	unreviewed	Formin like 1	9643	Ursus americanus	1038	PF02181	579..940
A0A452SFX9	unreviewed	Formin like 1	9643	Ursus americanus	970	PF02181	511..872
A0A452SFY8	unreviewed	Formin like 1	9643	Ursus americanus	1038	PF02181	534..895
A0A452SWP7	unreviewed	Diaphanous related formin 1	9643	Ursus americanus	1245	PF02181	737..1118
A0A452SWQ0	unreviewed	Diaphanous related formin 1	9643	Ursus americanus	1266	PF02181	758..1139
A0A452SWQ2	unreviewed	Diaphanous related formin 1	9643	Ursus americanus	1241	PF02181	733..1114
A0A452SWQ3	unreviewed	Diaphanous related formin 1	9643	Ursus americanus	1246	PF02181	758..1139
A0A452SWX0	unreviewed	Diaphanous related formin 1	9643	Ursus americanus	1209	PF02181	722..1103
A0A452T3D1	unreviewed	Formin homology 2 domain containing 3	29073	Ursus maritimus	593	PF02181	57..424
A0A452T3Q8	unreviewed	Formin homology 2 domain containing 3	29073	Ursus maritimus	697	PF02181	161..528
A0A452T9X4	unreviewed	Formin like 2	29073	Ursus maritimus	964	PF02181	520..884
A0A452TAH6	unreviewed	Formin like 2	29073	Ursus maritimus	1000	PF02181	552..917
A0A452TBE8	unreviewed	Formin like 2	29073	Ursus maritimus	1048	PF02181	571..936
A0A452TBG1	unreviewed	Formin like 2	29073	Ursus maritimus	1048	PF02181	573..938
A0A452TBK5	unreviewed	Formin like 2	29073	Ursus maritimus	966	PF02181	494..859
A0A452TBK6	unreviewed	Formin like 2	29073	Ursus maritimus	1032	PF02181	563..928
A0A452TBL5	unreviewed	Formin like 2	29073	Ursus maritimus	1040	PF02181	571..936
A0A452TBN8	unreviewed	Formin like 2	29073	Ursus maritimus	1026	PF02181	557..922
A0A452TBP4	unreviewed	Formin like 2	29073	Ursus maritimus	1018	PF02181	557..922
A0A452TBP6	unreviewed	Formin like 2	29073	Ursus maritimus	961	PF02181	498..863
A0A452TP02	unreviewed	Formin like 3	29073	Ursus maritimus	977	PF02181	531..659,700..881
A0A452TPI8	unreviewed	Formin like 3	29073	Ursus maritimus	1013	PF02181	562..912
A0A452TPN8	unreviewed	Formin like 3	29073	Ursus maritimus	982	PF02181	511..639,699..880
A0A452TPP1	unreviewed	Formin like 3	29073	Ursus maritimus	1014	PF02181	562..912
A0A452TPR2	unreviewed	Formin like 3	29073	Ursus maritimus	1033	PF02181	562..690,750..931
A0A452TPU3	unreviewed	Formin like 3	29073	Ursus maritimus	996	PF02181	547..897
A0A452TPX2	unreviewed	Formin like 3	29073	Ursus maritimus	1006	PF02181	547..897
A0A452TQ18	unreviewed	Formin like 3	29073	Ursus maritimus	999	PF02181	547..675,716..897
A0A452U4Z0	unreviewed	FH2 domain-containing protein	29073	Ursus maritimus	183	PF02181	13..134
A0A452U8P8	unreviewed	Diaphanous related formin 1	29073	Ursus maritimus	1157	PF02181	692..1051
A0A452U8U9	unreviewed	Diaphanous related formin 1	29073	Ursus maritimus	1186	PF02181	698..1079
A0A452U8V8	unreviewed	Diaphanous related formin 1	29073	Ursus maritimus	1200	PF02181	714..1073
A0A452U918	unreviewed	Diaphanous related formin 1	29073	Ursus maritimus	1206	PF02181	698..1079
A0A452U935	unreviewed	Diaphanous related formin 1	29073	Ursus maritimus	1234	PF02181	726..1107
A0A452UAF2	unreviewed	Diaphanous related formin 2	29073	Ursus maritimus	962	PF02181	521..863
A0A452UDW4	unreviewed	FH2 domain-containing protein	29073	Ursus maritimus	255	PF02181	1..160
A0A452UGD8	unreviewed	Diaphanous related formin 3	29073	Ursus maritimus	1111	PF02181	557..926
A0A452UGQ3	unreviewed	Formin like 1	29073	Ursus maritimus	1066	PF02181	598..959
A0A452UGX2	unreviewed	Formin like 1	29073	Ursus maritimus	981	PF02181	522..883
A0A452UHL6	unreviewed	Formin like 1	29073	Ursus maritimus	1075	PF02181	591..956
A0A452UHU6	unreviewed	Formin like 1	29073	Ursus maritimus	1010	PF02181	543..908
A0A452UHY2	unreviewed	Formin like 1	29073	Ursus maritimus	1044	PF02181	548..913
A0A452UI25	unreviewed	Formin like 1	29073	Ursus maritimus	973	PF02181	548..914
A0A452UI78	unreviewed	Formin like 1	29073	Ursus maritimus	1071	PF02181	612..973
A0A452UI80	unreviewed	Formin like 1	29073	Ursus maritimus	868	PF02181	443..809
A0A452UIE3	unreviewed	Formin like 1	29073	Ursus maritimus	629	PF02181	280..462,474..599
A0A452ULB7	unreviewed	FH2 domain-containing protein	29073	Ursus maritimus	1311	PF02181	865..1255
A0A452UMG3	unreviewed	FH2 domain-containing protein	29073	Ursus maritimus	277	PF02181	19..151
A0A452VL76	unreviewed	Inverted formin, FH2 and WH2 domain containing	29073	Ursus maritimus	1107	PF02181	451..662
A0A452VL99	unreviewed	Inverted formin, FH2 and WH2 domain containing	29073	Ursus maritimus	1088	PF02181	460..677
A0A452XJ52	unreviewed	Formin-like protein	200361	Aegilops tauschii subsp. strangulata	321	PF02181	2..287
A0A452XJ61	unreviewed	Formin-like protein	200361	Aegilops tauschii subsp. strangulata	841	PF02181	467..807
A0A452XJB8	unreviewed	FH2 domain-containing protein	200361	Aegilops tauschii subsp. strangulata	104	PF02181	4..102
A0A452XJC1	unreviewed	FH2 domain-containing protein	200361	Aegilops tauschii subsp. strangulata	251	PF02181	1..217
A0A452XW55	unreviewed	Formin-like protein	200361	Aegilops tauschii subsp. strangulata	354	PF02181	2..295
A0A452XW62	unreviewed	C2 tensin-type domain-containing protein	200361	Aegilops tauschii subsp. strangulata	827	PF02181	701..826
A0A452XW67	unreviewed	FH2 domain-containing protein	200361	Aegilops tauschii subsp. strangulata	254	PF02181	1..221
A0A452XW68	unreviewed	FH2 domain-containing protein	200361	Aegilops tauschii subsp. strangulata	155	PF02181	2..61
A0A452XW70	unreviewed	Formin-like protein	200361	Aegilops tauschii subsp. strangulata	611	PF02181	183..552
